epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.595,1.87098,3.42482,1.89929,0.75547,0.28888,0.29957,0.13727,2.04914,2.68232,1.98215,0.0704,0.00328889,0.00328889
2,437.95,1.70218,2.31656,1.72243,0.445,0.35274,0.35071,0.15962,2.04902,2.36555,1.90646,0.0403344,0.00655666,0.00655666
3,489.665,1.70296,2.24341,1.6738,0.41475,0.34495,0.31464,0.1365,2.10749,2.65101,1.94975,0.0102029,0.00975844,0.00975844
4,540.828,1.7851,2.25193,1.74213,0.39155,0.32928,0.30705,0.12657,2.25831,2.7073,2.10629,0.009703,0.009703,0.009703
5,592.376,1.79456,2.20215,1.75734,0.53717,0.33049,0.3353,0.14207,2.0905,3.07367,2.0464,0.009604,0.009604,0.009604
6,643.162,1.82903,2.20668,1.76243,0.41773,0.326,0.31794,0.13119,2.23424,2.91094,2.15954,0.009505,0.009505,0.009505
7,694.073,1.81591,2.16419,1.77203,0.54835,0.379,0.3856,0.16461,2.11886,2.43079,2.02211,0.009406,0.009406,0.009406
8,745.821,1.79222,2.16917,1.75649,0.466,0.40662,0.38883,0.16374,2.00014,2.65056,1.94654,0.009307,0.009307,0.009307
9,796.552,1.74671,2.08271,1.73876,0.48405,0.38256,0.36259,0.14008,2.0821,2.46163,1.98434,0.009208,0.009208,0.009208
10,847.65,1.73236,2.06613,1.72139,0.4442,0.40699,0.35056,0.14575,2.00061,2.41542,1.94668,0.009109,0.009109,0.009109
11,898.841,1.71853,2.02558,1.71465,0.43085,0.44003,0.39295,0.17244,1.9399,2.19648,1.85272,0.00901,0.00901,0.00901
12,953.288,1.69839,1.98277,1.6916,0.46809,0.47521,0.43613,0.20325,1.84453,2.004,1.82496,0.008911,0.008911,0.008911
13,1004.68,1.66684,1.95062,1.68368,0.61746,0.43689,0.4828,0.21743,1.89714,2.08305,1.84749,0.008812,0.008812,0.008812
14,1058.78,1.64166,1.9368,1.67301,0.56633,0.44667,0.46192,0.21504,1.87517,1.98572,1.82393,0.008713,0.008713,0.008713
15,1109.9,1.65254,1.92207,1.67716,0.55002,0.4798,0.48481,0.21551,1.92433,1.96423,1.85589,0.008614,0.008614,0.008614
16,1160.46,1.62802,1.86834,1.64872,0.52955,0.4818,0.4673,0.21345,1.83659,1.97398,1.80041,0.008515,0.008515,0.008515
17,1211.4,1.62975,1.83326,1.64577,0.54111,0.48858,0.48459,0.2302,1.82177,1.9373,1.79565,0.008416,0.008416,0.008416
18,1266.26,1.57466,1.81968,1.59443,0.55591,0.48013,0.51278,0.23251,1.87318,1.91396,1.79421,0.008317,0.008317,0.008317
19,1318.2,1.52733,1.76909,1.58664,0.57909,0.50788,0.51758,0.24095,1.79619,1.89509,1.78022,0.008218,0.008218,0.008218
20,1369.74,1.57219,1.78532,1.60954,0.57761,0.48198,0.4931,0.22546,1.87988,1.96361,1.8064,0.008119,0.008119,0.008119
21,1420.08,1.54267,1.7124,1.59315,0.61846,0.47878,0.51622,0.23241,1.86362,1.98078,1.80622,0.00802,0.00802,0.00802
22,1471.11,1.50134,1.64739,1.55902,0.57381,0.51562,0.51948,0.23771,1.81951,1.89809,1.80373,0.007921,0.007921,0.007921
23,1521.82,1.54852,1.68942,1.57982,0.55644,0.50243,0.51701,0.2452,1.85399,1.84665,1.80112,0.007822,0.007822,0.007822
24,1572.89,1.52775,1.63732,1.57329,0.62409,0.50136,0.53066,0.24416,1.84297,1.80063,1.8062,0.007723,0.007723,0.007723
25,1623.74,1.50825,1.62472,1.56734,0.57272,0.52478,0.53412,0.25196,1.79561,1.7987,1.74083,0.007624,0.007624,0.007624
26,1674.53,1.47039,1.58204,1.54597,0.56383,0.52017,0.51418,0.23305,1.91152,1.86798,1.82378,0.007525,0.007525,0.007525
27,1725.38,1.48618,1.54899,1.52367,0.59745,0.54834,0.56359,0.26574,1.7812,1.73352,1.75996,0.007426,0.007426,0.007426
28,1776.75,1.43364,1.50456,1.51156,0.65223,0.53986,0.56351,0.26842,1.80553,1.71302,1.7683,0.007327,0.007327,0.007327
29,1827.82,1.46187,1.51449,1.5135,0.61102,0.52898,0.55516,0.26645,1.76347,1.80644,1.72988,0.007228,0.007228,0.007228
30,1878.48,1.41989,1.49498,1.49106,0.68713,0.49569,0.55321,0.26826,1.7461,1.7521,1.7067,0.007129,0.007129,0.007129
31,1929.08,1.43642,1.4743,1.50083,0.61002,0.51491,0.53731,0.25444,1.80736,1.84279,1.76303,0.00703,0.00703,0.00703
32,1979.98,1.41601,1.42215,1.49144,0.69129,0.57127,0.62135,0.29294,1.76955,1.59192,1.75965,0.006931,0.006931,0.006931
