epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.742,1.80217,3.77824,1.75749,0.07285,0.39172,0.12272,0.04942,1.99716,3.69296,1.80314,0.0704,0.00328889,0.00328889
2,618.286,1.80514,3.03103,1.67962,0.66279,0.29499,0.2695,0.10966,2.10094,3.23911,1.9381,0.0402689,0.0064911,0.0064911
3,651.019,1.87782,2.88331,1.72456,0.61755,0.28863,0.23387,0.08914,2.09031,2.93616,1.9101,0.0100058,0.00956132,0.00956132
4,683.264,1.90989,2.78568,1.76731,0.29293,0.28079,0.19168,0.06871,2.17815,3.21049,2.04417,0.009406,0.009406,0.009406
5,715.267,1.8904,2.59991,1.76575,0.4712,0.23276,0.25987,0.10383,2.21919,3.14475,2.02204,0.009208,0.009208,0.009208
6,747.433,1.88844,2.54201,1.74943,0.43893,0.29195,0.28974,0.12024,2.13556,2.86036,1.95195,0.00901,0.00901,0.00901
7,780.214,1.86867,2.54764,1.80267,0.40054,0.34539,0.32691,0.13952,2.05243,2.72942,1.95758,0.008812,0.008812,0.008812
8,811.917,1.8454,2.43154,1.76091,0.50938,0.34598,0.31725,0.12642,2.14936,2.54101,1.98081,0.008614,0.008614,0.008614
9,844.375,1.815,2.34875,1.74188,0.48291,0.30484,0.31716,0.12783,2.07995,2.65168,1.9712,0.008416,0.008416,0.008416
10,876.137,1.79712,2.32654,1.74153,0.39294,0.34871,0.27435,0.10906,2.10338,2.72831,1.98851,0.008218,0.008218,0.008218
11,908.98,1.7817,2.29079,1.73285,0.55224,0.35453,0.37487,0.16146,2.00302,2.39266,1.90008,0.00802,0.00802,0.00802
12,940.602,1.78715,2.25306,1.72653,0.47721,0.37991,0.35926,0.14944,2.0089,2.37147,1.91581,0.007822,0.007822,0.007822
13,972.454,1.75455,2.2144,1.6923,0.56176,0.39832,0.42824,0.19551,1.91056,2.28335,1.83879,0.007624,0.007624,0.007624
14,1003.82,1.71239,2.19256,1.67148,0.41537,0.30755,0.27502,0.11329,2.22383,2.5103,1.96142,0.007426,0.007426,0.007426
15,1036.31,1.71312,2.15327,1.65013,0.54238,0.38702,0.41998,0.18529,1.90663,2.18866,1.8145,0.007228,0.007228,0.007228
16,1068.45,1.67358,2.07329,1.63351,0.52321,0.40327,0.42019,0.19137,1.90175,2.19883,1.79932,0.00703,0.00703,0.00703
