epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9094,1.0029,0.83074,1.15286,0.80766,0.64215,0.70293,0.36164,1.69677,1.383,1.61516,0.06744,0.000328889,0.000328889
2,91.9256,1.00687,0.83918,1.15571,0.80796,0.65535,0.71357,0.36262,1.69712,1.38467,1.61434,0.0344334,0.000655666,0.000655666
3,127.218,0.99076,0.82524,1.14241,0.79856,0.65009,0.70368,0.35974,1.7051,1.38934,1.62124,0.00142029,0.000975844,0.000975844
4,162.968,1.01436,0.82795,1.16123,0.8117,0.65057,0.71493,0.36075,1.70308,1.38446,1.62441,0.0009703,0.0009703,0.0009703
5,198.777,0.99562,0.80474,1.13646,0.78857,0.63519,0.70004,0.35673,1.70982,1.38223,1.63902,0.0009604,0.0009604,0.0009604
6,233.909,0.98654,0.8139,1.14008,0.77755,0.64816,0.69874,0.35894,1.70169,1.38315,1.63283,0.0009505,0.0009505,0.0009505
7,268.304,0.97448,0.80737,1.1424,0.7865,0.64926,0.70532,0.35372,1.72642,1.37333,1.64883,0.0009406,0.0009406,0.0009406
8,300.473,0.99231,0.8157,1.13719,0.80125,0.64848,0.70207,0.35756,1.70389,1.38277,1.62791,0.0009307,0.0009307,0.0009307
9,333.648,0.99185,0.80363,1.15246,0.81077,0.63654,0.70825,0.35625,1.71273,1.41073,1.64693,0.0009208,0.0009208,0.0009208
10,366.935,0.98775,0.80003,1.14182,0.82413,0.63925,0.70685,0.35758,1.691,1.38783,1.62599,0.0009109,0.0009109,0.0009109
11,399.662,0.98934,0.81008,1.13959,0.78829,0.63555,0.69459,0.35374,1.73065,1.38536,1.64681,0.000901,0.000901,0.000901
12,432.871,0.97889,0.79452,1.13268,0.79571,0.62958,0.69577,0.3534,1.72163,1.42222,1.65597,0.0008911,0.0008911,0.0008911
13,465,0.94426,0.77514,1.12158,0.78247,0.66108,0.70876,0.36267,1.70823,1.39424,1.64052,0.0008812,0.0008812,0.0008812
14,498.408,0.96566,0.80643,1.12819,0.82076,0.64219,0.71501,0.35981,1.71698,1.37493,1.64548,0.0008713,0.0008713,0.0008713
15,530.338,0.96462,0.78657,1.12969,0.81778,0.63938,0.70773,0.35941,1.72248,1.40145,1.64447,0.0008614,0.0008614,0.0008614
16,563.468,0.99698,0.80813,1.13686,0.80822,0.62838,0.70209,0.35876,1.7183,1.38548,1.64224,0.0008515,0.0008515,0.0008515
17,597.249,0.97119,0.79231,1.12703,0.77396,0.64637,0.70839,0.35276,1.73574,1.39305,1.65676,0.0008416,0.0008416,0.0008416
18,629.297,0.95935,0.78333,1.12665,0.83555,0.63508,0.71568,0.3613,1.72001,1.37116,1.64638,0.0008317,0.0008317,0.0008317
19,661.832,0.9528,0.7699,1.11696,0.80589,0.62535,0.70046,0.35746,1.72023,1.37809,1.64879,0.0008218,0.0008218,0.0008218
20,694.126,0.96152,0.79404,1.12938,0.82276,0.61422,0.69383,0.34694,1.74676,1.39814,1.67461,0.0008119,0.0008119,0.0008119
21,727.809,0.94855,0.76906,1.11894,0.801,0.65168,0.70439,0.35697,1.71508,1.35537,1.64947,0.000802,0.000802,0.000802
22,760.854,0.95484,0.7836,1.12679,0.7947,0.6472,0.71119,0.3506,1.74094,1.37782,1.66777,0.0007921,0.0007921,0.0007921
23,793.2,0.95996,0.79563,1.12321,0.78435,0.65853,0.71088,0.35689,1.70673,1.37071,1.64887,0.0007822,0.0007822,0.0007822
24,824.489,0.94822,0.77451,1.1176,0.81276,0.64761,0.71299,0.358,1.71111,1.37014,1.63663,0.0007723,0.0007723,0.0007723
25,856.598,0.96224,0.76714,1.13047,0.78833,0.63661,0.70737,0.35532,1.72362,1.3555,1.66107,0.0007624,0.0007624,0.0007624
26,890.076,0.94734,0.75048,1.11027,0.77847,0.65907,0.70536,0.35654,1.71387,1.37728,1.64556,0.0007525,0.0007525,0.0007525
27,922.744,0.95401,0.77427,1.11428,0.79402,0.64489,0.70696,0.35393,1.70934,1.39873,1.64354,0.0007426,0.0007426,0.0007426
28,955.212,0.94748,0.76486,1.11697,0.81807,0.62079,0.69376,0.34948,1.73372,1.4024,1.65981,0.0007327,0.0007327,0.0007327
29,987.661,0.94912,0.74953,1.12091,0.77105,0.65342,0.7016,0.35747,1.73233,1.38971,1.66303,0.0007228,0.0007228,0.0007228
30,1021.08,0.93758,0.76308,1.10491,0.77469,0.64185,0.70194,0.35143,1.73912,1.39109,1.66143,0.0007129,0.0007129,0.0007129
31,1054.17,0.95318,0.78356,1.11198,0.78625,0.65234,0.70723,0.35472,1.72605,1.35007,1.65367,0.000703,0.000703,0.000703
32,1086.89,0.96116,0.77827,1.1199,0.79658,0.63926,0.7077,0.35882,1.71723,1.38973,1.64572,0.0006931,0.0006931,0.0006931
33,1119.23,0.96078,0.76862,1.11462,0.80765,0.62911,0.70611,0.35819,1.72389,1.39739,1.65176,0.0006832,0.0006832,0.0006832
34,1152.03,0.93981,0.75244,1.10665,0.83467,0.63853,0.71332,0.35999,1.72909,1.37651,1.65492,0.0006733,0.0006733,0.0006733
35,1185.32,0.93803,0.73109,1.10435,0.80829,0.63567,0.71003,0.36,1.72311,1.37028,1.64745,0.0006634,0.0006634,0.0006634
36,1217.54,0.91215,0.73158,1.10601,0.80877,0.62774,0.70686,0.35601,1.72026,1.36953,1.65163,0.0006535,0.0006535,0.0006535
37,1250.39,0.92373,0.75961,1.10792,0.79894,0.64006,0.70157,0.36056,1.7133,1.37761,1.65439,0.0006436,0.0006436,0.0006436
38,1282.96,0.91817,0.75518,1.1148,0.79432,0.64641,0.71021,0.36152,1.71544,1.35886,1.65055,0.0006337,0.0006337,0.0006337
39,1317.53,0.93647,0.76364,1.11062,0.79991,0.66233,0.70951,0.36184,1.72012,1.35468,1.65227,0.0006238,0.0006238,0.0006238
